RD_NO,PERSON_TYPE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,SEX,AGE,SAFETY_EQUIPMENT,DRIVER_ACTION,DRIVER_VISION,PHYSICAL_CONDITION,BAC_RESULT VALUE,CELL_PHONE_USE
410661,0,0,0,0,0,1,0,7,5,0,0,17,11,0,8,0,0,0,0,200,200
410662,0,35,0,0,0,1,10,3,0,0,0,18,11,1,200,200,12,1,0,200,200
410662,0,35,0,0,0,1,10,3,0,0,0,18,11,0,6,0,12,0,0,200,200
410662,1,35,0,0,0,1,10,3,0,0,0,18,11,1,9,0,200,200,200,200,200
410662,1,35,0,0,0,1,10,3,0,0,0,18,11,0,1,5,200,200,200,200,200
410662,1,35,0,0,0,1,10,3,0,0,0,18,11,0,200,200,200,200,200,200,200
410678,0,30,0,0,0,1,7,5,0,0,0,0,0,1,200,200,200,200,200,200,200
410679,5,25,0,0,0,1,9,2,0,0,0,17,17,0,4,7,1,0,0,200,200
410679,0,25,0,0,0,1,9,2,0,0,0,17,17,1,7,0,0,0,0,200,200
410684,0,30,0,0,0,1,10,5,0,0,0,17,0,1,6,200,1,0,0,200,200
410684,0,30,0,0,0,1,10,5,0,0,0,17,0,1,5,0,12,0,0,200,200
410689,0,20,0,0,0,1,12,6,0,0,12,17,200,1,4,0,1,200,0,200,200
410689,0,20,0,0,0,1,12,6,0,0,12,17,200,0,6,0,0,200,0,200,200
410703,0,25,0,0,0,1,11,7,0,0,0,20,0,0,7,200,6,200,200,200,200
410703,0,25,0,0,0,1,11,7,0,0,0,20,0,0,5,0,0,200,200,200,200
410709,0,30,0,0,0,1,11,5,0,0,0,0,0,0,6,200,200,0,200,200,200
410709,0,30,0,0,0,1,11,5,0,0,0,0,0,0,6,200,200,200,0,200,200
410711,0,0,0,0,0,1,7,7,0,0,0,0,0,0,200,200,200,200,200,200,200
410712,0,30,2,2,0,1,0,2,0,0,0,17,200,0,4,0,8,1,0,200,200
410712,0,30,2,2,0,1,0,2,0,0,0,17,200,1,7,0,0,1,0,200,200
